year,population,agri_output
1317,4.5682868463,60.0812457077
1318,4.5090596809,73.6857908854
1319,4.450600387,74.3298314383
1320,4.3928990092,71.2936623797
1321,4.3359457213,54.9790527432
1322,4.2797308243,60.0083478894
1323,4.2242447452,64.8284830479
1324,4.1694780349,56.3611486737
1325,4.1154213669,66.5549259174
1326,4.1435723474,68.1696461721
1327,4.1719158908,65.3470972354
1328,4.2004533144,56.6728278873
1329,4.2291859443,62.8851658363
1330,4.2581151159,61.6693438537
1331,4.2872421736,57.0588541964
1332,4.3165684709,63.8971386695
1333,4.3460953708,68.3092042557
1334,4.3758242455,64.6769217065
1335,4.4057564764,60.4659083287
1336,4.4358934547,63.2606269184
1337,4.466236581,71.7692058558
1338,4.4967872652,74.05938723
1339,4.5275469273,55.0604136511
1340,4.5585169966,68.0714050814
1341,4.5896989125,64.5420671805
1342,4.6210941241,70.0999442962
1343,4.6527040903,66.2662294544
1344,4.6845302802,75.2551546353
1345,4.7165741728,67.6179599152
1346,4.7488372574,61.5613249356
1347,4.7813210331,67.3450961366
1348,4.8140270098,71.0109649576
1349,3.9221011797,49.9234682091
1350,3.1954282003,51.5187434583
1351,2.6033906102,53.8519377924
1352,2.5993360916,56.7339939984
1353,2.5952878876,54.2828372985
1354,2.5912459882,52.8971935647
1355,2.5872103836,58.6051088737
1356,2.5831810642,52.671984961
1357,2.5791580199,54.9099702934
1358,2.5751412412,56.409028803
1359,2.5711307182,56.5313490062
1360,2.5671264412,55.6041184186
1361,2.5631284004,51.8688885311
1362,2.5591365862,51.9871330215
1363,2.5551509888,50.6905558606
1364,2.5511715986,57.7640394199
1365,2.5471984059,52.9548418913
1366,2.543231401,57.9399453686
1367,2.5392705744,50.8601495132
1368,2.5353159163,49.6322495917
1369,2.5313674172,44.8198079228
1370,2.5274250675,55.4594979336
1371,2.5234888577,53.6564060191
1372,2.519558778,47.4458435777
1373,2.5156348191,54.9444142541
1374,2.5117169713,47.7724520701
1375,2.5078052252,44.769271401
1376,2.5038995713,56.5322663692
1377,2.5,57.1278321093
1378,2.4802142367,54.9296716342
1379,2.4605850639,47.180666632
1380,2.4411112424,48.3855010345
1381,2.4217915427,50.0181605696
1382,2.4026247449,52.7439652019
1383,2.3836096391,46.7190438779
1384,2.3647450246,57.0313317838
1385,2.3460297104,47.4892884863
1386,2.327462515,55.7231436075
1387,2.309042266,56.5695463536
1388,2.2907678005,48.7396529152
1389,2.2726379646,49.9931279994
1390,2.2546516139,44.0895379075
1391,2.2368076126,54.6050311088
1392,2.2191048341,64.6152525964
1393,2.2015421609,46.4870937679
1394,2.184118484,54.9109420051
1395,2.1668327035,49.2889474215
1396,2.1496837278,49.318089302
1397,2.1326704744,46.5165540078
1398,2.1157918691,53.0051433881
1399,2.0990468462,47.8017333709
1400,2.0824343486,44.7360237108
1401,2.0802983425,43.919880025
1402,2.0781645273,47.0295690646
1403,2.0760329009,48.4222133615
1404,2.0739034609,49.5173799787
1405,2.0717762051,50.5997346885
1406,2.0696511314,44.6469508418
1407,2.0675282373,45.0940710553
1408,2.0654075208,38.5568418614
1409,2.0632889795,42.0687799456
1410,2.0611726113,47.9122308162
1411,2.0590584139,44.937223618
1412,2.0569463851,42.9081967634
1413,2.0548365227,36.2201310567
1414,2.0527288243,43.3738439859
1415,2.050623288,43.1219728074
1416,2.0485199113,40.2940169571
1417,2.0464186921,48.7832151541
1418,2.0443196281,44.8790837253
1419,2.0422227173,48.9244363471
1420,2.0401279573,46.4449868033
1421,2.0380353459,39.7953481738
1422,2.035944881,42.4799630297
1423,2.0338565603,47.2158332917
1424,2.0317703817,49.3626575373
1425,2.0296863429,45.5242986671
1426,2.0276044418,44.2528632211
1427,2.0255246761,43.451208968
1428,2.0234470437,40.6766703949
1429,2.0213715424,41.7358162066
1430,2.0192981699,44.039282311
1431,2.0133739302,43.2895486262
1432,2.0074670712,43.7834750324
1433,2.0015775417,45.7507778889
1434,1.995705291,48.2991240603
1435,1.9898502684,41.2860903303
1436,1.9840124233,37.8848053313
1437,1.9781917053,33.8824670184
1438,1.9723880642,35.6811751006
1439,1.96660145,39.2867800043
1440,1.9608318125,43.3491629369
1441,1.9550791021,34.3254565375
1442,1.949343269,34.6453128754
1443,1.9436242638,50.6566305496
1444,1.9379220371,52.4633486163
1445,1.9322365396,38.5341894557
1446,1.9265677223,43.724493998
1447,1.9209155363,44.8031803492
1448,1.9152799327,46.5346169397
1449,1.9096608629,39.4234900975
1450,1.9040582784,41.9977459279
1451,1.9096312344,43.291726044
1452,1.9152205017,42.2365262186
1453,1.9208261282,42.9740560314
1454,1.9264481617,42.7132738756
1455,1.9320866503,43.2902080061
1456,1.9377416421,43.8561632206
1457,1.9434131853,36.2393521703
1458,1.9491013285,41.5650904741
1459,1.9548061202,41.8123353363
1460,1.9605276092,41.4275733152
1461,1.9662658443,41.8005671353
1462,1.9720208746,49.9402702517
1463,1.9777927491,50.7341868326
1464,1.9835815173,43.4106670092
1465,1.9893872285,40.7943695121
1466,1.9952099323,38.3105149035
1467,2.0010496785,41.2424469982
1468,2.006906517,45.6267052301
1469,2.0127804978,44.5786784639
1470,2.018671671,41.7922152952
1471,2.0245800869,37.6183065722
1472,2.0305057962,39.6468328556
1473,2.0364488493,40.2540351947
1474,2.042409297,43.9310287792
1475,2.0483871902,41.9049348406
1476,2.05438258,36.554511013
1477,2.0603955177,38.7023564644
1478,2.0664260545,40.2800732727
1479,2.072474242,45.8904602305
1480,2.0785401318,48.2213588826
1481,2.0846237757,44.107513412
1482,2.0907252258,40.3274928272
1483,2.0968445341,42.2493435247
1484,2.1029817529,42.0302511865
1485,2.1091369347,37.7075319746
1486,2.1153101319,48.6097765127
1487,2.1215013974,42.2054056543
1488,2.1277107839,43.3012575822
1489,2.1339383447,44.3555730202
1490,2.1401841327,43.3698373793
1491,2.1464482015,43.9028533706
1492,2.1527306044,43.3166588565
1493,2.1590313952,42.2666093676
1494,2.1653506277,46.9287374466
1495,2.1716883559,46.7127688901
1496,2.1780446338,43.9988426727
1497,2.1844195158,47.9302560708
1498,2.1908130563,48.3313212499
1499,2.19722531,48.8155221164
1500,2.2036563316,47.1935349525
1501,2.2101061761,42.9657360814
1502,2.2165748985,46.9651537656
1503,2.2230625541,51.8134210998
1504,2.2295691983,51.3200894771
1505,2.2360948867,51.7221222539
1506,2.242639675,51.7122955823
1507,2.2492036191,49.33036069
1508,2.2557867752,51.2794202475
1509,2.2623891994,56.7570798326
1510,2.2690109481,51.6528777398
1511,2.2756520778,53.7086748217
1512,2.2823126454,46.9664152967
1513,2.2889927077,50.4190548046
1514,2.2956923218,49.2323168734
1515,2.3024115448,51.9311893657
1516,2.3091504342,50.6477925441
1517,2.3159090476,50.590766486
1518,2.3226874426,51.0486670233
1519,2.3294856772,49.9545852186
1520,2.3363038095,48.4785421901
1521,2.3431418976,48.9050159537
1522,2.35,53.6205832208
1523,2.3739240507,53.1951398871
1524,2.3980916588,54.1676950653
1525,2.4225053041,53.322994802
1526,2.4471674911,54.9943580902
1527,2.4720807503,45.6419025429
1528,2.4972476376,47.7938131218
1529,2.522670735,49.9387516843
1530,2.548352651,52.2026477941
1531,2.5742960203,47.9057596955
1532,2.6005035047,52.1377174725
1533,2.626977793,51.5653365178
1534,2.6537216014,58.1881471539
1535,2.6807376738,49.6299490862
1536,2.7080287818,50.5575290605
1537,2.7355977256,60.4608942046
1538,2.7634473335,51.8466359255
1539,2.7915804628,61.9072066321
1540,2.82,57.2975770597
1541,2.830458,51.5684586763
1542,2.867727,57.1797154279
1543,2.884361,54.1262510288
1544,2.916003,58.6897739582
1545,2.911613,52.5424208431
1546,2.908466,53.2342205658
1547,2.91044,64.4142135311
1548,2.951903,60.3984610338
1549,2.98118,56.7248568678
1550,3.020841,54.6087506461
1551,3.065168,54.3476975299
1552,3.087215,49.0328459699
1553,3.110592,68.9600927086
1554,3.137961,57.9362966663
1555,3.161626,59.0706154865
1556,3.212505,41.5124705303
1557,3.204974,51.6136293837
1558,3.133757,80.0902085994
1559,3.036742,66.9714166888
1560,3.015219,60.2586450748
1561,3.035688,64.3826833151
1562,3.069343,64.2738246155
1563,3.099546,76.9721891018
1564,3.110707,72.5435978711
1565,3.149204,73.0770414452
1566,3.173513,87.5669622236
1567,3.208378,78.2757417038
1568,3.252345,81.5766575007
1569,3.274741,77.6742304492
1570,3.296204,66.2205744263
1571,3.310219,68.4047134279
1572,3.341349,61.9705365729
1573,3.360591,79.4849389862
1574,3.380804,60.3865272402
1575,3.413301,76.0358915998
1576,3.447945,81.1098032408
1577,3.490202,56.5803463697
1578,3.527355,77.6607279611
1579,3.560316,78.7260453774
1580,3.602085,70.7096873203
1581,3.631441,70.4458157427
1582,3.671239,61.1494651057
1583,3.721513,80.891596566
1584,3.768244,76.7825425222
1585,3.797796,58.621190509
1586,3.840647,49.4002182144
1587,3.859383,67.3297955968
1588,3.846636,81.5686308021
1589,3.885426,63.1503063469
1590,3.93426,70.9352938466
1591,3.937845,63.6826975343
1592,3.945029,74.7382196556
1593,3.943129,85.0709963507
1594,3.979088,55.1218396573
1595,4.028223,57.963577723
1596,4.056574,51.600643745
1597,4.054783,45.7411260582
1598,4.028631,65.5956718778
1599,4.065427,85.6859616644
1600,4.114891,76.0031525494
1601,4.161785,72.5754937727
1602,4.187655,79.7923576945
1603,4.209409,89.5798844068
1604,4.219477,99.6311260326
1605,4.270233,80.425047893
1606,4.31042,84.9802571554
1607,4.361009,76.8967292506
1608,4.398228,67.6285095246
1609,4.435392,95.6116339993
1610,4.449135,108.4810564184
1611,4.47631,91.8729404144
1612,4.49831,92.2112593082
1613,4.518285,80.7490138561
1614,4.518328,73.3784390905
1615,4.55311,86.3064312328
1616,4.568412,76.4471844044
1617,4.573625,93.4813819578
1618,4.602855,93.0388649466
1619,4.645663,82.6575770334
1620,4.68869,110.7019098357
1621,4.744972,104.8778415012
1622,4.829012,81.1920849816
1623,4.859479,75.7370831656
1624,4.829546,101.3237723332
1625,4.821584,101.5314056207
1626,4.761954,93.2427302439
1627,4.796562,97.6609015728
1628,4.896191,121.8704625111
1629,4.973912,67.7958655266
1630,4.959428,65.4346568297
1631,4.926322,68.0606661479
1632,4.989043,88.4179353078
1633,5.114408,76.4810198851
1634,5.176634,84.7157252585
1635,5.199885,89.9138049668
1636,5.089826,82.7632038252
1637,5.19585,78.6866650258
1638,5.163125,87.3562461735
1639,5.207413,95.5406763214
1640,5.20928,102.127096765
1641,5.130123,75.769258901
1642,5.192783,91.3982957008
1643,5.268977,104.0355921261
1644,5.217877,109.1194247693
1645,5.247014,82.5862433604
1646,5.23124,82.9842160947
1647,5.315683,81.1192205061
1648,5.309168,82.5787328144
1649,5.315384,74.4045158204
1650,5.312343,63.5955449565
1651,5.307978,71.5335696957
1652,5.391294,92.8333954804
1653,5.385708,114.8116223465
1654,5.313195,107.9405047301
1655,5.397694,118.8976384898
1656,5.390765,104.9314171934
1657,5.394992,92.4100866039
1658,5.320309,82.1104599712
1659,5.266505,64.3195077139
1660,5.245768,78.263299465
1661,5.279736,76.6391168466
1662,5.204667,82.8709065255
1663,5.169274,95.6143098115
1664,5.244883,88.1960818206
1665,5.184322,97.1416950845
1666,5.229235,121.4249012203
1667,5.106405,116.6440068334
1668,5.205223,91.388372418
1669,5.20047,100.4519036143
1670,5.193358,91.4948562787
1671,5.158922,87.9563000331
1672,5.140882,82.170208241
1673,5.171863,83.8008242302
1674,5.186973,75.2555047132
1675,5.187052,75.9154111364
1676,5.184564,111.4155968934
1677,5.193061,88.727517688
1678,5.209648,100.4795140526
1679,5.194269,87.115846528
1680,5.166785,111.4894090006
1681,5.109031,85.0577345479
1682,4.962352,91.7338884142
1683,4.950841,108.9301349417
1684,4.943877,81.563196573
1685,5.012077,98.0361386661
1686,5.036096,80.6880710034
1687,4.978729,105.6372350441
1688,4.945834,105.742845191
1689,5.042935,96.8505146715
1690,5.039295,109.3178594318
1691,5.09375,114.94503687
1692,5.097574,129.6602041128
1693,5.121314,87.6240598537
1694,5.109576,132.3136616207
1695,5.109708,112.5506482331
1696,5.118433,101.4244394734
1697,5.150015,100.4860278035
1698,5.177316,101.5741696498
1699,5.190149,87.4811820097
1700,5.195805,100
1701,5.210622,111.0634946005
1702,5.130944,117.7363229888
1703,5.259007,104.6662071837
1704,5.258024,131.2476983022
1705,5.243873,127.0274853291
1706,5.333593,98.7209288976
1707,5.324293,115.1547651774
1708,5.315379,91.1821348679
1709,5.309902,77.4985297432
1710,5.38987,72.1604658272
1711,5.382325,93.1515932002
1712,5.313727,100.3193340306
1713,5.310003,77.2476299856
1714,5.393804,95.8133644643
1715,5.39773,84.3635639934
1716,5.428306,85.4267593331
1717,5.437161,95.9317916066
1718,5.491429,115.785029452
1719,5.530415,95.7440076832
1720,5.510036,132.4433445225
1721,5.502742,128.6608891534
1722,5.505718,118.287937102
1723,5.523184,109.7157154202
1724,5.540007,114.3038194335
1725,5.55845,117.200013033
1726,5.602227,100.4137375046
1727,5.628489,104.6567947066
1728,5.577742,121.7051177133
1729,5.478467,117.6674869278
1730,5.420676,113.6078453279
1731,5.414321,110.4844600398
1732,5.394668,131.2949256952
1733,5.437529,130.5453537109
1734,5.515446,125.5763202819
1735,5.561308,115.5336273642
1736,5.598932,146.1970112445
1737,5.629101,142.6020227055
1738,5.652216,130.7908477903
1739,5.684087,130.6325920365
1740,5.711806,128.3233873748
1741,5.723207,131.598020556
1742,5.664217,141.8418587781
1743,5.660026,128.1242557861
1744,5.695178,117.8389598564
1745,5.750497,121.7355459834
1746,5.781808,128.9830671775
1747,5.805091,149.493897553
1748,5.816618,128.0148782401
1749,5.851017,128.9625126465
1750,5.888264,128.0473392069
1751,5.921907,123.9717055923
1752,5.960981,137.6239423533
1753,6.007521,140.1555041693
1754,6.052434,136.2973187742
1755,6.096763,136.5295799495
1756,6.148555,133.4770399138
1757,6.177649,156.4434126485
1758,6.196146,162.9242593411
1759,6.221833,157.3916456391
1760,6.262599,164.7265895707
1761,6.310339,172.3776849192
1762,6.338572,161.6807454888
1763,6.326856,163.4452390461
1764,6.361342,161.3290988218
1765,6.415198,153.5034444254
1766,6.448732,132.9121434265
1767,6.46703,159.154431095
1768,6.486827,165.8126171925
1769,6.530999,181.8598113921
1770,6.579743,164.7496758222
1771,6.623359,175.4158118562
1772,6.673919,150.7356751269
1773,6.726828,175.7964166811
1774,6.775929,169.2468240386
1775,6.847947,173.6074533889
1776,6.913474,179.9233414808
1777,6.979029,186.9836789149
1778,7.050435,179.9533692382
1779,7.116142,184.1711945045
1780,7.15476,197.1851226937
1781,7.206139,216.9310516672
1782,7.230818,193.0649171282
1783,7.284,188.0811545629
1784,7.300587,192.2485022197
1785,7.367578,176.8277885577
1786,7.433688,188.4765846856
1787,7.508406,168.8944119544
1788,7.59159,166.824973798
1789,7.665834,171.081775285
1790,7.762101,195.5329523615
1791,7.845678,194.3288817708
1792,7.937411,197.4803207528
1793,8.022417,198.7249439857
1794,8.100998,170.1431668464
1795,8.169106,213.3057155256
1796,8.256325,212.4428526781
1797,8.33374,206.5203613753
1798,8.435048,211.4825881168
1799,8.52574,204.0510916652
1800,8.619513,201.8783098764
1801,8.671439,236.6463818098
1802,8.730845,223.8379637511
1803,8.831874,211.0542678638
1804,8.945472,202.6922554247
1805,9.092471,228.3331364575
1806,9.232495,222.9106229907
1807,9.367758,239.8700014981
1808,9.49847,234.7403602396
1809,9.623669,238.8023879851
1810,9.737937,231.4556900397
1811,9.863959,210.4730646733
1812,9.988059,209.7163798159
1813,10.14077,253.457973155
1814,10.27405,221.9636079552
1815,10.45806,235.6921143093
1816,10.62838,224.5381132285
1817,10.80177,242.9474995685
1818,10.95725,223.0881226564
1819,11.12151,216.3527829954
1820,11.26775,261.4794244691
1821,11.45681,258.5632492504
1822,11.65227,251.8608262226
1823,11.83911,255.0449896307
1824,12.01661,262.9192868245
1825,12.20769,263.3404652622
1826,12.37375,241.5348111513
1827,12.52784,263.5523174462
1828,12.72769,235.256044743
1829,12.90303,245.4535313458
1830,13.07414,253.770332718
1831,13.25405,258.8363290067
1832,13.39434,279.8045492519
1833,13.56508,261.0378419378
1834,13.76037,266.4257157448
1835,13.92132,308.1805568676
1836,14.09952,293.7112221461
1837,14.26131,303.6588807876
1838,14.416,305.327284777
1839,14.59444,290.0230570084
1840,14.76938,313.4488220356
1841,14.93671,289.70459347
1842,15.13047,315.58641622
1843,15.31042,315.7789661203
1844,15.50821,346.0052062128
1845,15.69148,326.0933633942
1846,15.91002,319.0857368717
1847,16.03783,339.2182130914
1848,16.16532,319.2096636253
1849,16.35821,337.1829329626
1850,16.50609,309.6919308162
1851,16.736084,323.2169074493
1852,16.952384,344.759025702
1853,17.144592,297.4845983853
1854,17.352736,370.0392954605
1855,17.516176,339.0948644752
1856,17.76392,341.1472892622
1857,18.015056,322.4705497142
1858,18.2268,344.2569402134
1859,18.44232,319.345594677
1860,18.682352,281.6015320168
1861,18.937536,308.7755529916
1862,19.197408,300.1615108244
1863,19.453744,409.3999218954
1864,19.689072,408.5241390388
1865,19.930656,361.2910669402
1866,20.166624,354.6585187598
1867,20.426416,359.0156342579
1868,20.72496,386.4691144759
1869,20.97896,398.1217102256
1870,21.239824,383.6616484929
